year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
2018,FLORIDA,7,STEPHANIE MURPHY,MIKE MILLER,DEMOCRAT,REPUBLICAN,183113,134285.0,STEPHANIE MURPHY,DEMOCRAT,STEPHANIE MURPHY,MIKE MILLER,DEM,REP,47.3,45.8
2018,FLORIDA,9,DARREN SOTO,WAYNE LIEBNITZKY,DEMOCRAT,REPUBLICAN,172172,124565.0,DARREN SOTO,DEMOCRAT,DARREN SOTO,WAYNE LIEBNITZKY,DEM,REP,48.0,40.0
2018,FLORIDA,12,GUS MICHAEL BILIRAKIS,CHRIS HUNTER,REPUBLICAN,DEMOCRAT,194564,132844.0,GUS MICHAEL BILIRAKIS,REPUBLICAN,GUS MICHAEL BILIRAKIS,CHRIS HUNTER,REP,DEM,49.1,29.7
2018,FLORIDA,15,ROSS SPANO,KRISTEN CARLSON,REPUBLICAN,DEMOCRAT,151380,134132.0,ROSS SPANO,REPUBLICAN,KRISTEN CARLSON,ROSS SPANO,DEM,REP,48.0,47.0
2018,FLORIDA,16,VERN BUCHANAN,DAVID SHAPIRO,REPUBLICAN,DEMOCRAT,197483,164463.0,VERN BUCHANAN,REPUBLICAN,VERN BUCHANAN,DAVID SHAPIRO,REP,DEM,44.0,34.5
2018,FLORIDA,18,BRIAN MAST,LAUREN BAER,REPUBLICAN,DEMOCRAT,185905,156454.0,BRIAN MAST,REPUBLICAN,BRIAN MAST,LAUREN BAER,REP,DEM,46.0,43.0
2018,FLORIDA,19,FRANCIS ROONEY,DAVID HOLDEN,REPUBLICAN,DEMOCRAT,211465,128106.0,FRANCIS ROONEY,REPUBLICAN,FRANCIS ROONEY,DAVID HOLDEN,REP,DEM,51.0,42.0
2018,FLORIDA,25,MARIO DIAZ-BALART,MARY BARZEE FLORES,REPUBLICAN,DEMOCRAT,128672,84173.0,MARIO DIAZ-BALART,REPUBLICAN,MARIO DIAZ-BALART,MARY BARZEE FLORES,REP,DEM,46.0,39.0
2018,FLORIDA,26,DEBBIE MUCARSEL-POWELL,CARLOS CURBELO,DEMOCRAT,REPUBLICAN,119797,115678.0,DEBBIE MUCARSEL-POWELL,DEMOCRAT,CARLOS CURBELO,DEBBIE MUCARSEL-POWELL,REP,DEM,45.0,40.0
2018,FLORIDA,27,DONNA SHALALA,MARIA ELVIRA SALAZAR,DEMOCRAT,REPUBLICAN,130743,115588.0,DONNA SHALALA,DEMOCRAT,MARIA ELVIRA SALAZAR,DONNA E. SHALALA,REP,DEM,51.0,42.0
2018,GEORGIA,3,DREW FERGUSON,CHUCK ENDERLIN,REPUBLICAN,DEMOCRAT,191996,101010.0,DREW FERGUSON,REPUBLICAN,DREW FERGUSON,CHUCK ENDERLIN,REP,DEM,56.0,26.0
2018,GEORGIA,6,LUCY MCBATH,KAREN HANDEL,DEMOCRAT,REPUBLICAN,160139,156875.0,LUCY MCBATH,DEMOCRAT,KAREN HANDEL,LUCY MCBATH,REP,DEM,49.0,47.0
2018,GEORGIA,7,ROB WOODALL,CAROLYN BOURDEAUX,REPUBLICAN,DEMOCRAT,140430,140011.0,ROB WOODALL,REPUBLICAN,CAROLYN BOURDEAUX,ROB WOODALL,DEM,REP,46.0,44.0
2018,IDAHO,1,RUSS FULCHER,CRISTINA MCNEIL,REPUBLICAN,DEMOCRAT,197719,96922.0,RUSS FULCHER,REPUBLICAN,RUSS FULCHER,CRISTINA MCNEIL,REP,DEM,35.0,27.0
2018,IDAHO,2,MIKE SIMPSON,AARON SWISHER,REPUBLICAN,DEMOCRAT,170274,110381.0,MIKE SIMPSON,REPUBLICAN,MIKE SIMPSON,AARON SWISHER,REP,DEM,59.0,23.0
2018,ILLINOIS,6,SEAN CASTEN,PETER J ROSKAM,DEMOCRAT,REPUBLICAN,169001,146445.0,SEAN CASTEN,DEMOCRAT,PETER J. ROSKAM,SEAN CASTEN,REP,DEM,45.0,44.0
2018,ILLINOIS,12,MIKE BOST,BRENDAN KELLY,REPUBLICAN,DEMOCRAT,134884,118724.0,MIKE BOST,REPUBLICAN,MIKE BOST,BRENDAN KELLY,REP,DEM,44.0,39.0
2018,ILLINOIS,13,RODNEY DAVIS,BETSY DIRKSEN LONDRIGAN,REPUBLICAN,DEMOCRAT,136516,134458.0,RODNEY DAVIS,REPUBLICAN,RODNEY DAVIS,BETSY DIRKSEN LONDRIGAN,REP,DEM,45.0,42.0
2018,ILLINOIS,14,LAUREN UNDERWOOD,"RANDALL M ""RANDY"" HULTGREN",DEMOCRAT,REPUBLICAN,156035,141164.0,LAUREN UNDERWOOD,DEMOCRAT,RANDY HULTGREN,LAUREN UNDERWOOD,REP,DEM,45.0,41.0
2018,ILLINOIS,16,ADAM KINZINGER,SARA DADY,REPUBLICAN,DEMOCRAT,151254,104569.0,ADAM KINZINGER,REPUBLICAN,ADAM KINZINGER,SARA DADY,REP,DEM,55.0,41.0
2018,INDIANA,3,JIM BANKS,COURTNEY TRITCH,REPUBLICAN,DEMOCRAT,158927,86610.0,JIM BANKS,REPUBLICAN,JIM BANKS,COURTNEY TRITCH,REP,DEM,55.0,34.0
2018,INDIANA,5,SUSAN W BROOKS,DEE THORNTON,REPUBLICAN,DEMOCRAT,180035,137142.0,SUSAN W BROOKS,REPUBLICAN,SUSAN W. BROOKS,DEE THORNTON,REP,DEM,50.0,44.0
2018,INDIANA,9,TREY HOLLINGSWORTH,LIZ WATSON,REPUBLICAN,DEMOCRAT,153271,118090.0,TREY HOLLINGSWORTH,REPUBLICAN,TREY HOLLINGSWORTH,LIZ WATSON,REP,DEM,52.0,45.0
2018,IOWA,1,ABBY FINKENAUER,ROD BLUM,DEMOCRAT,REPUBLICAN,170342,153442.0,ABBY FINKENAUER,DEMOCRAT,ABBY FINKENAUER,ROD BLUM,DEM,REP,43.0,42.0
2018,IOWA,2,DAVE LOEBSACK,CHRISTOPHER PETERS,DEMOCRAT,REPUBLICAN,171446,133287.0,DAVE LOEBSACK,DEMOCRAT,DAVE LOEBSACK,CHRISTOPHER PETERS,DEM,REP,45.4,20.7
2018,IOWA,3,CINDY AXNE,DAVID YOUNG,DEMOCRAT,REPUBLICAN,175642,167933.0,CINDY AXNE,DEMOCRAT,CINDY AXNE,DAVID YOUNG,DEM,REP,45.0,41.0
2018,IOWA,4,STEVE KING,JD SCHOLTEN,REPUBLICAN,DEMOCRAT,157676,147246.0,STEVE KING,REPUBLICAN,STEVE KING,J.D. SCHOLTEN,REP,DEM,41.4,30.5
2018,KANSAS,1,ROGER MARSHALL,ALAN LAPOLICE,REPUBLICAN,DEMOCRAT,153082,71558.0,ROGER MARSHALL,REPUBLICAN,ROGER MARSHALL,ALAN LAPOLICE,REP,DEM,43.5,16.9
2018,KANSAS,2,STEVE WATKINS,PAUL DAVIS,REPUBLICAN,DEMOCRAT,126098,123859.0,STEVE WATKINS,REPUBLICAN,PAUL DAVIS,PAUL DAVIS,DEM,DEM,46.2,44.75
2018,KANSAS,3,SHARICE DAVIDS,KEVIN YODER,DEMOCRAT,REPUBLICAN,170518,139762.0,SHARICE DAVIDS,DEMOCRAT,SHARICE DAVIDS,KEVIN YODER,DEM,REP,46.0,43.0
2018,KANSAS,4,RON ESTES,JAMES A THOMPSON,REPUBLICAN,DEMOCRAT,144248,98445.0,RON ESTES,REPUBLICAN,RON ESTES,JAMES A. THOMPSON,REP,DEM,42.1,38.4
2018,KENTUCKY,6,ANDY BARR,AMY MCGRATH,REPUBLICAN,DEMOCRAT,154468,144736.0,ANDY BARR,REPUBLICAN,AMY MCGRATH,ANDY BARR,DEM,REP,52.0,37.0
2018,LOUISIANA,3,CLAY HIGGINS,"MILDRED ""MIMI"" METHVIN",REPUBLICAN,DEMOCRAT,136876,43729.0,CLAY HIGGINS,REPUBLICAN,CLAY HIGGINS,CLAY HIGGINS,REP,REP,69.2,61.7
2018,MAINE,1,CHELLIE PINGREE,MARK I HOLBROOK,DEMOCRAT,REPUBLICAN,201195,111188.0,CHELLIE PINGREE,DEMOCRAT,CHELLIE PINGREE,MARK HOLBROOK,DEM,REP,53.4,29.4
2018,MAINE,2,JARED F GOLDEN,BRUCE POLIQUIN,DEMOCRAT,REPUBLICAN,139231,136326.0,JARED F GOLDEN,DEMOCRAT,JARED FORREST GOLDEN,BRUCE POLIQUIN,DEM,REP,51.0,49.0
2018,MICHIGAN,1,JACK BERGMAN,MATTHEW W MORGAN,REPUBLICAN,DEMOCRAT,187251,145246.0,JACK BERGMAN,REPUBLICAN,JACK BERGMAN,MATT MORGAN,REP,DEM,54.0,42.0
2018,MICHIGAN,2,BILL HUIZENGA,ROB DAVIDSON,REPUBLICAN,DEMOCRAT,168970,131254.0,BILL HUIZENGA,REPUBLICAN,BILL HUIZENGA,ROB DAVIDSON,REP,DEM,48.0,42.0
2018,MICHIGAN,6,FRED UPTON,MATT LONGJOHN,REPUBLICAN,DEMOCRAT,147436,134082.0,FRED UPTON,REPUBLICAN,FRED UPTON,MATT LONGJOHN,REP,DEM,49.0,44.0
2018,MICHIGAN,7,TIM WALBERG,GRETCHEN DRISKELL,REPUBLICAN,DEMOCRAT,158730,136330.0,TIM WALBERG,REPUBLICAN,TIM WALBERG,GRETCHEN DRISKELL,REP,DEM,41.0,37.0
