year,state,district,c1,c2,c1_party,c2_party,c1_votes,c2_votes,winner,winner_party
2018,CALIFORNIA,19,ZOE LOFGREN,JUSTIN JAMES AGUILERA,DEMOCRAT,REPUBLICAN,162496,57823.0,ZOE LOFGREN,DEMOCRAT
2018,CALIFORNIA,20,JIMMY PANETTA,RONALD PAUL KABAT,DEMOCRAT,NO PARTY PREFERENCE,183677,42044.0,JIMMY PANETTA,DEMOCRAT
2018,CALIFORNIA,21,TJ COX,DAVID G VALADAO,DEMOCRAT,REPUBLICAN,57239,56377.0,TJ COX,DEMOCRAT
2018,CALIFORNIA,22,DEVIN G NUNES,ANDREW JANZ,REPUBLICAN,DEMOCRAT,117243,105136.0,DEVIN G NUNES,REPUBLICAN
2018,CALIFORNIA,23,KEVIN MCCARTHY,TATIANA MATTA,REPUBLICAN,DEMOCRAT,131113,74661.0,KEVIN MCCARTHY,REPUBLICAN
2018,CALIFORNIA,24,SALUD CARBAJAL,JUSTIN FAREED,DEMOCRAT,REPUBLICAN,166550,117881.0,SALUD CARBAJAL,DEMOCRAT
2018,CALIFORNIA,25,KATIE HILL,STEVE KNIGHT,DEMOCRAT,REPUBLICAN,133209,111813.0,KATIE HILL,DEMOCRAT
2018,CALIFORNIA,26,JULIA BROWNLEY,ANTONIO SABATO JR,DEMOCRAT,REPUBLICAN,158216,97210.0,JULIA BROWNLEY,DEMOCRAT
2018,CALIFORNIA,27,JUDY CHU,BRYAN WITT,DEMOCRAT,DEMOCRAT,160504,42132.0,JUDY CHU,DEMOCRAT
2018,CALIFORNIA,28,ADAM B SCHIFF,JOHNNY J NALBANDIAN,DEMOCRAT,REPUBLICAN,196662,54272.0,ADAM B SCHIFF,DEMOCRAT
2018,CALIFORNIA,29,TONY CARDENAS,BENITO BENNY BERNAL,DEMOCRAT,REPUBLICAN,124697,29995.0,TONY CARDENAS,DEMOCRAT
2018,CALIFORNIA,30,BRAD SHERMAN,MARK S REED,DEMOCRAT,REPUBLICAN,191573,69420.0,BRAD SHERMAN,DEMOCRAT
2018,CALIFORNIA,31,PETE AGUILAR,SEAN FLYNN,DEMOCRAT,REPUBLICAN,110143,77352.0,PETE AGUILAR,DEMOCRAT
2018,CALIFORNIA,32,GRACE FLORES NAPOLITANO,JOSHUA M SCOTT,DEMOCRAT,REPUBLICAN,121759,55272.0,GRACE FLORES NAPOLITANO,DEMOCRAT
2018,CALIFORNIA,33,TED W LIEU,KENNETH WESTON WRIGHT,DEMOCRAT,REPUBLICAN,219091,93769.0,TED W LIEU,DEMOCRAT
2018,CALIFORNIA,34,JIMMY GOMEZ,KENNETH MEJIA,DEMOCRAT,GREEN,110195,41711.0,JIMMY GOMEZ,DEMOCRAT
2018,CALIFORNIA,35,NORMA J TORRES,CHRISTIAN LEONEL VALIENTE,DEMOCRAT,REPUBLICAN,103420,45604.0,NORMA J TORRES,DEMOCRAT
2018,CALIFORNIA,36,RAUL RUIZ,KIMBERLIN BROWN PELZER,DEMOCRAT,REPUBLICAN,122169,84839.0,RAUL RUIZ,DEMOCRAT
2018,CALIFORNIA,37,KAREN BASS,RON J BASSILIAN,DEMOCRAT,REPUBLICAN,210555,25823.0,KAREN BASS,DEMOCRAT
2018,CALIFORNIA,38,LINDA T SANCHEZ,RYAN DOWNING,DEMOCRAT,REPUBLICAN,139188,62968.0,LINDA T SANCHEZ,DEMOCRAT
2018,CALIFORNIA,39,GIL CISNEROS,YOUNG KIM,DEMOCRAT,REPUBLICAN,126002,118391.0,GIL CISNEROS,DEMOCRAT
2018,CALIFORNIA,40,LUCILLE ROYBAL-ALLARD,RODOLFO CORTES BARRAGAN,DEMOCRAT,GREEN,93938,27511.0,LUCILLE ROYBAL-ALLARD,DEMOCRAT
2018,CALIFORNIA,41,MARK TAKANO,AJA SMITH,DEMOCRAT,REPUBLICAN,108227,58021.0,MARK TAKANO,DEMOCRAT
